totalInvoices,FirstName,LastName,City,Email
7,Luís,Gonçalves,"São José dos Campos",luisg@embraer.com.br
7,Leonie,Köhler,Stuttgart,leonekohler@surfeu.de
7,François,Tremblay,Montréal,ftremblay@gmail.com
7,Bjørn,Hansen,Oslo,bjorn.hansen@yahoo.no
7,František,Wichterlová,Prague,frantisekw@jetbrains.com
7,Helena,Holý,Prague,hholy@gmail.com
7,Astrid,Gruber,Vienne,astrid.gruber@apple.at
7,Daan,Peeters,Brussels,daan_peeters@apple.be
7,Kara,Nielsen,Copenhagen,kara.nielsen@jubii.dk
7,Eduardo,Martins,"São Paulo",eduardo@woodstock.com.br
7,Alexandre,Rocha,"São Paulo",alero@uol.com.br
7,Roberto,Almeida,"Rio de Janeiro",roberto.almeida@riotur.gov.br
7,Fernanda,Ramos,Brasília,fernadaramos4@uol.com.br
7,Mark,Philips,Edmonton,mphilips12@shaw.ca
7,Jennifer,Peterson,Vancouver,jenniferp@rogers.ca
7,Frank,Harris,"Mountain View",fharris@google.com
7,Jack,Smith,Redmond,jacksmith@microsoft.com
7,Michelle,Brooks,"New York",michelleb@aol.com
7,Tim,Goyer,Cupertino,tgoyer@apple.com
7,Dan,Miller,"Mountain View",dmiller@comcast.com
7,Kathy,Chase,Reno,kachase@hotmail.com
7,Heather,Leacock,Orlando,hleacock@gmail.com
7,John,Gordon,Boston,johngordon22@yahoo.com
7,Frank,Ralston,Chicago,fralston@gmail.com
7,Victor,Stevens,Madison,vstevens@yahoo.com
7,Richard,Cunningham,"Fort Worth",ricunningham@hotmail.com
7,Patrick,Gray,Tucson,patrick.gray@aol.com
7,Julia,Barnett,"Salt Lake City",jubarnett@gmail.com
7,Robert,Brown,Toronto,robbrown@shaw.ca
7,Edward,Francis,Ottawa,edfrancis@yachoo.ca
7,Martha,Silk,Halifax,marthasilk@gmail.com
7,Aaron,Mitchell,Winnipeg,aaronmitchell@yahoo.ca
7,Ellie,Sullivan,Yellowknife,ellie.sullivan@shaw.ca
7,João,Fernandes,Lisbon,jfernandes@yahoo.pt
7,Madalena,Sampaio,Porto,masampaio@sapo.pt
7,Hannah,Schneider,Berlin,hannah.schneider@yahoo.de
7,Fynn,Zimmermann,Frankfurt,fzimmermann@yahoo.de
7,Niklas,Schröder,Berlin,nschroder@surfeu.de
7,Camille,Bernard,Paris,camille.bernard@yahoo.fr
7,Dominique,Lefebvre,Paris,dominiquelefebvre@gmail.com
7,Marc,Dubois,Lyon,marc.dubois@hotmail.com
7,Wyatt,Girard,Bordeaux,wyatt.girard@yahoo.fr
7,Isabelle,Mercier,Dijon,isabelle_mercier@apple.fr
7,Terhi,Hämäläinen,Helsinki,terhi.hamalainen@apple.fi
7,Ladislav,Kovács,Budapest,ladislav_kovacs@apple.hu
7,Hugh,O'Reilly,Dublin,hughoreilly@apple.ie
7,Lucas,Mancini,Rome,lucas.mancini@yahoo.it
7,Johannes,"Van der Berg",Amsterdam,johavanderberg@yahoo.nl
7,Stanisław,Wójcik,Warsaw,stanisław.wójcik@wp.pl
7,Enrique,Muñoz,Madrid,enrique_munoz@yahoo.es
7,Joakim,Johansson,Stockholm,joakim.johansson@yahoo.se
7,Emma,Jones,London,emma_jones@hotmail.com
7,Phil,Hughes,London,phil.hughes@gmail.com
7,Steve,Murray,"Edinburgh ",steve.murray@yahoo.uk
7,Mark,Taylor,Sidney,mark.taylor@yahoo.au
7,Diego,Gutiérrez,"Buenos Aires",diego.gutierrez@yahoo.ar
7,Luis,Rojas,Santiago,luisrojas@yahoo.cl
7,Manoj,Pareek,Delhi,manoj.pareek@rediff.com
6,Puja,Srivastava,Bangalore,puja_srivastava@yahoo.in
